"report_date","ticker","rsi_1","rsi_2","rsi_3","rsi_4","rsi_5","rsi_6","rsi_7","rsi_8","rsi_9","rsi_10","rsi_11","rsi_12","rsi_13","rsi_14","rsi_15","rsi_16","rsi_17","rsi_18","rsi_19","rsi_20","sma_10","sma_20","sma_50","sma_200","ema_10","ema_20","ema_50","ema_200","macd_12_26_9_line","macd_12_26_9_signal","macd_12_26_9_histogram","rv_10","rv_20","rv_30","rv_60","hls_10","hls_20","obv"
2012-10-17,AAPL,0.0,74.36916,79.4933,80.72204,54.662304,59.789886,56.842316,43.510082,35.341526,33.295998,40.771442,42.00216,38.76734,33.945587,42.116966,39.580776,35.2063,33.22651,33.78305,33.10806,83.55114,85.81242,86.05558,75.36,83.9443,84.98889,84.70145,75.230286,-1.0463876,-0.7061176,-0.34027,25.111135,24.273943,23.457527,21.291473,0.8825788,0.9061499,33773011300
2012-10-18,AAPL,0.0,0.0,46.70603,53.934998,55.844513,41.994198,47.169804,45.31593,36.41933,30.515627,28.978445,36.00781,37.18501,34.627037,30.728415,38.577652,36.438988,32.698597,30.983929,31.520641,83.10667,85.382645,86.09573,75.50376,83.64832,84.734375,84.60792,75.3008,-1.1191008,-0.78871423,-0.3303866,24.52401,24.699682,23.856747,21.715971,0.90570277,0.89048284,33653855200
2012-10-19,AAPL,0.0,0.0,0.0,27.337212,33.449936,35.188206,29.133654,33.643562,32.689716,27.792206,24.21691,23.238642,29.453093,30.518198,28.773712,26.029501,33.254665,31.653223,28.792242,27.454409,82.550415,84.7955,86.0674,75.629715,82.86678,84.22156,84.40172,75.34109,-1.3999716,-0.9109657,-0.4890059,28.811676,27.107332,24.95725,22.854038,0.889198,0.8870684,33467833700
2012-10-22,AAPL,100.0,51.47903,41.027805,37.714375,49.538963,52.56471,53.45451,46.51257,49.12246,48.047527,42.294914,37.83141,36.568558,40.87259,41.622616,39.60519,36.355232,41.777966,40.012127,36.80245,82.49655,84.42623,86.09948,75.76857,82.79961,84.05735,84.327034,75.41229,-1.3529904,-0.99937063,-0.35361972,37.073776,30.735367,27.827137,23.95924,1.2378143,1.0205408,33604516400
2012-10-23,AAPL,0.0,53.923294,35.752277,30.377987,28.522573,39.282845,42.206112,43.079815,38.45444,40.95842,40.20837,36.099487,32.7968,31.843466,35.906174,36.62151,35.050613,32.480915,37.667778,36.226303,82.20392,84.03471,86.05618,75.89441,82.25565,83.65263,84.14981,75.45603,-1.5153096,-1.1025584,-0.41275114,40.41579,32.481926,28.93421,24.40335,1.0676945,1.0300978,33427730000
2012-10-24,AAPL,100.0,14.374431,57.231503,38.886524,33.285175,31.33211,41.32222,44.05683,44.87587,40.193832,42.560997,41.80238,37.63313,34.26537,33.290497,37.187454,37.87463,36.280754,33.667614,38.680523,81.8906,83.72016,86.01751,76.02154,81.892685,83.32946,83.997246,75.50382,-1.5891972,-1.1998861,-0.389311,39.63776,30.897797,28.242838,24.388857,1.1076821,1.0506859,33567361800
2012-10-25,AAPL,0.0,32.248985,11.040367,49.73028,35.27159,30.60071,28.942122,38.598537,41.279705,42.085957,37.941097,40.264915,39.585285,35.82668,32.76131,31.869024,35.688606,36.36412,34.892372,32.468723,81.64911,83.253174,85.962105,76.14436,81.42325,82.94673,83.81346,75.5417,-1.7046431,-1.3008375,-0.40380555,39.849613,30.414501,27.934008,24.51777,1.1735725,0.92485183,33403280400
2012-10-26,AAPL,0.0,0.0,21.288294,9.385957,45.225616,32.94424,28.833508,27.35633,36.75735,39.392677,40.187294,36.391113,38.679165,38.051598,34.565773,31.703754,30.867413,34.627964,35.29442,33.90633,81.314575,82.84266,85.877945,76.264336,80.908104,82.5318,83.60862,75.57204,-1.833169,-1.4073038,-0.42586514,39.305073,30.34905,27.500504,24.440804,1.3230125,1.0322099,33148672200
2012-10-31,AAPL,0.0,0.0,0.0,13.891077,7.6012893,39.604794,29.857498,26.441053,25.19354,34.20124,36.759827,37.534225,34.20195,36.43119,35.873924,32.75934,30.177475,29.418756,33.087288,33.739395,80.8014,82.425835,85.74057,76.379684,80.28127,82.04882,83.367516,75.59083,-2.0030699,-1.5264571,-0.47661293,35.44656,30.405802,27.520008,24.496878,1.2777885,1.0750281,33021171400
2012-11-01,AAPL,100.0,12.323293,7.901598,5.3673844,17.900751,10.006389,40.6417,30.769222,27.289038,26.015667,34.83814,37.348377,38.108517,34.753624,36.946262,36.385628,33.24965,30.646755,29.881287,33.503128,80.108536,82.00445,85.56203,76.49266,79.79728,81.62696,83.1421,75.61101,-2.100693,-1.6413043,-0.45938885,35.9953,29.512745,27.559532,24.49979,1.0198952,1.0130537,33111495900
